PAGINA;ELEMENTO;id;name
pcDeliverable.jsp;form;pcdeliverable_form;
pcDeliverable.jsp;ul;tabs-0;
pcDeliverable.jsp;div;tab-pcdeliverable;
pcDeliverable.jsp;textarea;;pcd-descrizione
pcDeliverable.jsp;div;container-fluid;
error.jsp;meta ;;language
error.jsp;meta ;;description
error.jsp;meta ;;creator
error.jsp;meta ;;author
error.jsp;a;countdown;
login.jsp;input;input;usr
login.jsp;input;pwd;pwd
pcAttivita.jsp;form;newAct_form;
pcAttivita.jsp;select;actPeople;actPeople
pcAttivita.jsp;input;show-extrainfo;
pcAttivita.jsp;div;actNome;actNome
pcAttivita.jsp;textarea;;textarea
pcAttivita.jsp;input;actDataInizio;actDataInizio
pcAttivita.jsp;input;actDataFine;actDataFine
pcAttivita.jsp;input;actDataInizioAttesa;actDataInizioAttesa
pcAttivita.jsp;input;actDataFineAttesa;actDataFineAttesa
pcAttivita.jsp;input;actDataInizioEffettiva;actDataInizioEffettiva
pcAttivita.jsp;input;actDataFineEffettiva;actDataInizioEffettiva
pcAttivita.jsp;input;actGuPrevisti;actGuPrevisti
pcAttivita.jsp;input;actGuEffettivi;actGuEffettivi
pcAttivita.jsp;input;actGuRimanenti;actGuRimanenti
pcAttivita.jsp;textarea;;sAvanzamento
pcAttivita.jsp;input;;actMilestone
pcAttivita.jsp;select;sRischi;sRischi
pcAttivita.jsp;div;actIdComplessita;actIdComplessita
pcAttivita.jsp;div;actIdStato;actIdStato
pcAttivita.jsp;input;btn;
pcCompetenza.jsp;div;skillId;skillId
pcCompetenza.jsp;div;skillDescrizione;skillDescrizione
pcCompetenza.jsp;div;skillInformativa;skillInformativa
pcCompetenza.jsp;div;skillPresenza;skillPresenza
pcCompetenza.jsp;div;skillIdPersona;skillIdPersona
pcMilestone.jsp;input;pcm-id${status};pcm-id${status}
pcMilestone.jsp;input;pcm-nome${status};pcm-nome${status}
pcMilestone.jsp;input;pcm-descrizione${status};pcm-descrizione${status}
pcMilestone.jsp;input;pcm-milestone${status};pcm-milestone${status}
pcMilestone.jsp;input;pcm-milestone${status};pcm-milestone${status}
pcMilestone.jsp;input;pcm-loop-status;pcm-loop-status
pcRischi.jsp;ul;tabs-0;
pcRischi.jsp;div;rischi;
pcRischi.jsp;input ;pck-id${status};pck-id${status}
pcRischi.jsp;th;pck-nome${status};pck-nome${status}
pcRischi.jsp;th;pck-informativa${status};pck-informativa${status}
pcRischi.jsp;th;pck-impatto${status};pck-impatto${status}
pcRischi.jsp;th;pck-livello${status};pck-livello${status}
pcRischi.jsp;th;pck-stato${status};pck-stato${status}
pcRischi.jsp;input;pck-loop-status;pck-loop-status
pcRischio.jsp;div;riskId;riskId
pcRischio.jsp;div;riskDescrizione;riskDescrizione
pcRischio.jsp;div;riskProbabilita;riskProbabilita
pcRischio.jsp;div;riskImpatto;riskImpatto
pcRischio.jsp;div;riskLivello;riskLivello
pcRischio.jsp;div;riskStato;riskStato
pcRisorse.jsp;form;pcrisorse_form;
pcRisorse.jsp;div;tab-pcrisorse;
pcRisorse.jsp;input;pcr-id${status};pcr-id${status}
pcRisorse.jsp;th;pcr-nome${status};pcr-nome${status}
pcRisorse.jsp;th;pcr-informativa${status};pcr-informativa${status}
pcRisorse.jsp;input;pcr-presenza${status};pcr-presenza${status}
pcRisorse.jsp;input;pcr-presenza${status};pcr-presenza${status}
pcRisorse.jsp;input;pcr-presenza${status};pcr-presenza${status}
pcRisorse.jsp;input;pcr-loop-status;pcr-loop-status
pcRisorse.jsp;textarea;;pcr-chiaveesterni
pcRisorse.jsp;textarea;;pcr-chiaveesterni
pcRisorse.jsp;textarea;;pcr-serviziateneo
pcStakeholder.jsp;form;pcstakeholder_form;
pcStakeholder.jsp;div;tab-pcstakeholder;
